City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Albany,US,70.0,broken clouds,42.6001,-73.9662,
7,Rikitea,PF,78.58,overcast clouds,-23.1203,-134.9692,Pension Maro'i
12,Pisco,PE,70.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
16,Alofi,NU,71.6,light rain,-19.0595,-169.9187,Taloa Heights
24,Kieta,PG,78.87,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
28,Victoria,HK,77.0,scattered clouds,22.2855,114.1577,Mini Hotel Central
29,Gat,IL,70.0,clear sky,31.61,34.7642,OlusHome
35,Kahului,US,71.6,light rain,20.8947,-156.47,Maui Seaside Hotel
41,Chuy,UY,71.82,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
51,Rudbar,AF,79.97,clear sky,30.15,62.6,
52,Saint-Pierre,RE,78.8,light rain,-21.3393,55.4781,Lindsey Hôtel
57,Kapaa,US,75.99,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
64,Marzuq,YE,72.64,few clouds,14.4,46.4667,
69,Honiara,SB,78.12,overcast clouds,-9.4333,159.95,Heritage Park Hotel
73,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
76,Cidreira,BR,74.5,scattered clouds,-30.1811,-50.2056,Hotel Castelo
83,Bengkulu,ID,75.72,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
85,Fort Wellington,GY,78.44,moderate rain,6.4,-57.6,TE'AMO Entertainment Park
90,Pecos,US,71.01,clear sky,31.4229,-103.4932,Knights Inn Pecos
92,Nouadhibou,MR,71.6,clear sky,20.930999999999997,-17.0347,El Medina
94,Saint-Joseph,RE,78.8,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
98,Singapore,SG,78.8,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
106,Bambous Virieux,MU,79.0,light rain,-20.3428,57.7575,Casa Tia Villa
110,Seydi,TM,77.9,overcast clouds,39.4816,62.9137,Çagalar Dünýäsi
115,Ilhabela,BR,76.44,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
118,Arraial Do Cabo,BR,78.8,few clouds,-22.9661,-42.0278,Pousada Porto Praia
124,Luwuk,ID,78.19,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
131,San Policarpo,PH,77.32,overcast clouds,12.1791,125.5072,JM Lodge
133,Poya,NC,74.28,overcast clouds,-21.35,165.15,
140,Castro,BR,73.76,clear sky,-24.7911,-50.0119,CHACARA BAILLY
142,Saint-Philippe,RE,78.8,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
145,Bangassou,CF,75.06,overcast clouds,4.7413,22.8184,
146,Kaka,TM,72.19,overcast clouds,37.3482,59.6143,
148,Poum,NC,78.28,overcast clouds,-20.2333,164.0167,Gîte kajeon
158,Avarua,CK,78.8,few clouds,-21.2078,-159.775,Paradise Inn
167,Isangel,VU,77.25,overcast clouds,-19.55,169.2667,Tanna Lodge
