City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,New Norfolk,AU,-42.7826,147.0587,50.0,84,99,2.91,overcast clouds,0.0,0.0
1,Naryan-Mar,RU,67.6713,53.087,38.82,90,88,10.16,overcast clouds,0.0,0.0
2,Faanui,PF,-16.4833,-151.75,80.01,74,100,7.63,light rain,0.97,0.0
3,Richards Bay,ZA,-28.783,32.0377,69.17,85,70,11.97,light rain,0.37,0.0
4,Albany,US,42.6001,-73.9662,70.0,17,57,3.0,broken clouds,0.0,0.0
5,Ocampo,MX,21.65,-101.5,84.0,50,95,8.7,overcast clouds,0.0,0.0
6,Punta Arenas,CL,-53.15,-70.9167,51.8,71,75,16.11,broken clouds,0.0,0.0
7,Rikitea,PF,-23.1203,-134.9692,78.58,70,99,16.15,overcast clouds,0.0,0.0
8,Moranbah,AU,-22.0016,148.0466,65.17,81,100,13.56,overcast clouds,0.0,0.0
9,Port Alfred,ZA,-33.5906,26.891,67.75,84,53,9.86,broken clouds,0.0,0.0
10,Puerto Ayora,EC,-0.7393,-90.3518,80.6,74,75,16.11,broken clouds,0.0,0.0
11,Vaini,TO,-21.2,-175.2,69.8,100,20,6.22,mist,0.0,0.0
12,Pisco,PE,-13.7,-76.2167,70.0,78,0,10.36,clear sky,0.0,0.0
13,Hobart,AU,-42.8794,147.3294,50.0,71,75,8.05,broken clouds,0.0,0.0
14,Upernavik,GL,72.7868,-56.1549,34.16,85,40,5.99,scattered clouds,0.0,0.0
15,Dikson,RU,73.5069,80.5464,11.19,88,88,15.68,overcast clouds,0.0,0.0
16,Alofi,NU,-19.0595,-169.9187,71.6,100,69,1.14,light rain,0.17,0.0
17,Kloulklubed,PW,7.0419,134.2556,82.4,78,75,11.5,broken clouds,0.0,0.0
18,Lenti,HU,46.624,16.5386,60.8,36,0,4.61,clear sky,0.0,0.0
19,Pilar,BR,-9.5972,-35.9567,86.0,66,20,9.22,few clouds,0.0,0.0
20,Mataura,NZ,-46.1927,168.8643,51.01,74,59,8.99,broken clouds,0.0,0.0
21,Hamilton,US,39.1834,-84.5333,54.0,71,90,5.75,moderate rain,2.44,0.0
22,Khani,GE,41.9563,42.9566,55.4,82,0,4.61,clear sky,0.0,0.0
23,Cascais,PT,38.6979,-9.4215,64.99,77,20,11.5,few clouds,0.0,0.0
24,Kieta,PG,-6.2167,155.6333,78.87,82,71,1.63,broken clouds,0.0,0.0
25,Santa Rosa,PH,14.3122,121.1114,81.0,78,20,3.78,few clouds,0.0,0.0
26,Walvis Bay,NA,-22.9575,14.5053,60.8,82,17,10.36,few clouds,0.0,0.0
27,Saint Anthony,US,45.0205,-93.218,42.01,65,90,14.97,overcast clouds,0.0,0.0
28,Victoria,HK,22.2855,114.1577,77.0,87,45,3.0,scattered clouds,0.0,0.0
29,Gat,IL,31.61,34.7642,70.0,100,5,1.95,clear sky,0.0,0.0
30,Ponta Do Sol,PT,32.6667,-17.1,66.2,63,40,8.05,scattered clouds,0.0,0.0
31,Dargaville,NZ,-35.9333,173.8833,57.2,78,64,8.3,broken clouds,0.0,0.0
32,Nikolskoye,RU,59.7035,30.7861,42.01,60,20,2.24,few clouds,0.0,0.0
33,Taikang,CN,46.8333,124.4167,43.74,28,0,4.7,clear sky,0.0,0.0
34,Nha Trang,VN,12.25,109.1833,80.6,78,20,2.3,few clouds,0.0,0.0
35,Kahului,US,20.8947,-156.47,71.6,100,40,12.66,light rain,0.51,0.0
36,Busselton,AU,-33.65,115.3333,52.0,88,0,1.86,clear sky,0.0,0.0
37,Jamestown,US,42.097,-79.2353,62.01,30,1,13.8,clear sky,0.0,0.0
38,Muscat,OM,23.6139,58.5922,89.26,37,1,8.55,clear sky,0.0,0.0
39,Remontnoye,RU,46.5614,43.6501,53.6,66,0,15.66,clear sky,0.0,0.0
40,Hasaki,JP,35.7333,140.8333,50.0,100,20,3.44,fog,0.0,0.0
41,Chuy,UY,-33.6971,-53.4616,71.82,69,100,7.2,overcast clouds,0.0,0.0
42,Pevek,RU,69.7008,170.3133,17.11,88,100,2.39,overcast clouds,0.0,0.0
43,Arlit,NE,18.7369,7.3853,96.51,6,7,7.61,clear sky,0.0,0.0
44,Port Elizabeth,ZA,-33.918,25.5701,57.2,100,0,8.05,clear sky,0.0,0.0
45,Whitehorse,CA,60.7161,-135.0538,43.0,48,20,8.05,few clouds,0.0,0.0
46,Ushuaia,AR,-54.8,-68.3,55.4,58,75,12.66,broken clouds,0.0,0.0
47,Hermanus,ZA,-34.4187,19.2345,62.01,80,98,1.01,overcast clouds,0.0,0.0
48,Hoquiam,US,46.9809,-123.8893,50.0,100,90,4.65,light rain,0.84,0.0
49,Ilulissat,GL,69.2167,-51.1,41.0,60,40,3.44,scattered clouds,0.0,0.0
50,Butaritari,KI,3.0707,172.7902,82.44,76,96,11.7,overcast clouds,0.0,0.0
51,Rudbar,AF,30.15,62.6,79.97,7,0,7.9,clear sky,0.0,0.0
52,Saint-Pierre,RE,-21.3393,55.4781,78.8,83,75,27.63,light rain,0.21,0.0
53,East London,ZA,-33.0153,27.9116,64.4,88,0,4.61,clear sky,0.0,0.0
54,Provideniya,RU,64.3833,-173.3,33.84,86,89,1.07,overcast clouds,0.0,0.0
55,Beringovskiy,RU,63.05,179.3167,29.39,97,95,4.72,overcast clouds,0.0,0.0
56,Codrington,AU,-38.2667,141.9667,50.88,92,100,6.15,overcast clouds,0.0,0.0
57,Kapaa,US,22.0752,-159.319,75.99,73,40,16.11,scattered clouds,0.0,0.0
58,Katsuura,JP,35.1333,140.3,60.8,67,0,13.8,clear sky,0.0,0.0
59,Vetlanda,SE,57.4289,15.0776,44.01,36,84,11.5,broken clouds,0.0,0.0
60,Airai,TL,-8.9266,125.4092,56.98,92,30,2.48,scattered clouds,0.0,0.0
61,El Molino,CO,10.6523,-72.924,94.32,42,74,6.33,broken clouds,0.0,0.0
62,Santa Maria,BR,-29.6842,-53.8069,66.2,94,90,3.44,light rain,0.56,0.0
63,Bluff,NZ,-46.6,168.3333,51.01,74,82,8.99,moderate rain,2.05,0.0
64,Marzuq,YE,14.4,46.4667,72.64,67,20,8.14,few clouds,0.0,0.0
65,Saskylakh,RU,71.9167,114.0833,32.41,92,100,12.68,overcast clouds,0.0,0.0
66,Sorland,NO,67.667,12.6934,37.49,56,86,20.83,overcast clouds,0.0,0.0
67,Valdemarpils,LV,57.3707,22.5919,37.4,81,90,14.97,overcast clouds,0.0,0.0
68,Faya,SA,18.3851,42.4509,59.0,72,75,16.11,drizzle,0.0,0.0
69,Honiara,SB,-9.4333,159.95,78.12,84,85,2.62,overcast clouds,0.0,0.0
70,Khandyga,RU,62.6667,135.6,-0.67,100,53,2.28,broken clouds,0.0,0.0
71,Rio Brilhante,BR,-21.8019,-54.5464,94.93,20,51,3.78,broken clouds,0.0,0.0
72,Parfenyevo,RU,58.484,43.4088,47.71,76,87,12.62,overcast clouds,0.0,0.0
73,Mahebourg,MU,-20.4081,57.7,78.8,89,75,14.97,light rain,0.8,0.0
74,Bredasdorp,ZA,-34.5322,20.0403,55.4,88,96,4.61,overcast clouds,0.0,0.0
75,Kodiak,US,57.79,-152.4072,42.8,87,90,2.68,overcast clouds,0.0,0.0
76,Cidreira,BR,-30.1811,-50.2056,74.5,69,25,13.44,scattered clouds,0.0,0.0
77,Carnarvon,AU,-24.8667,113.6333,62.6,94,0,6.91,clear sky,0.0,0.0
78,Yellowknife,CA,62.456,-114.3525,17.01,57,40,12.66,scattered clouds,0.0,0.0
79,Qinhuangdao,CN,39.9317,119.5883,51.8,62,23,8.95,few clouds,0.0,0.0
80,Leningradskiy,RU,69.3833,178.4167,19.38,93,100,4.38,overcast clouds,0.0,0.0
81,Paamiut,GL,61.994,-49.6678,38.7,72,81,10.11,broken clouds,0.0,0.0
82,Fortuna,US,40.5982,-124.1573,54.0,87,90,8.05,overcast clouds,0.1,0.0
83,Bengkulu,ID,-3.8004,102.2655,75.72,89,98,3.98,overcast clouds,0.0,0.0
84,Shelburne,CA,44.0787,-80.2041,63.0,30,54,9.15,broken clouds,0.0,0.0
85,Fort Wellington,GY,6.4,-57.6,78.44,85,88,12.88,moderate rain,1.538,0.0
86,Arenapolis,BR,-14.4503,-56.8461,86.72,57,44,0.94,scattered clouds,0.0,0.0
87,Norman Wells,CA,65.282,-126.8329,30.2,64,75,3.44,broken clouds,0.0,0.0
88,Xuddur,SO,4.1213,43.8894,80.83,61,84,4.72,broken clouds,0.0,0.0
89,Atuona,PF,-9.8,-139.0333,80.65,73,25,21.23,scattered clouds,0.0,0.0
90,Pecos,US,31.4229,-103.4932,71.01,24,1,3.44,clear sky,0.0,0.0
91,Hithadhoo,MV,-0.6,73.0833,83.5,70,46,7.81,scattered clouds,0.0,0.0
