City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Belyy Yar,RU,2021-04-23 17:44:24,53.6039,91.3903,33.8,40,0,8.95
1,Mezokeresztes,HU,2021-04-23 17:44:24,47.8333,20.7,45.68,65,46,8.03
2,Cuamba,MZ,2021-04-23 17:44:24,-14.8031,36.5372,66.43,83,19,3.78
3,San Cristobal,VE,2021-04-23 17:44:25,7.7669,-72.225,89.6,55,20,14.97
4,Albany,US,2021-04-23 17:41:01,42.6001,-73.9662,57.0,25,23,3.0
5,Thompson,CA,2021-04-23 17:39:58,55.7435,-97.8558,24.8,42,40,9.22
6,Mataura,NZ,2021-04-23 17:44:24,-46.1927,168.8643,44.01,96,32,1.99
7,Marsh Harbour,BS,2021-04-23 17:44:25,26.5412,-77.0636,73.22,70,88,16.87
8,Kieta,PG,2021-04-23 17:44:26,-6.2167,155.6333,77.02,86,99,1.14
9,Tasiilaq,GL,2021-04-23 17:44:26,65.6145,-37.6368,35.6,60,90,3.44
10,Guerrero Negro,MX,2021-04-23 17:40:10,27.9769,-114.0611,64.49,58,85,17.96
11,Jamestown,US,2021-04-23 17:41:14,42.097,-79.2353,57.99,37,1,9.22
12,Hilo,US,2021-04-23 17:44:27,19.7297,-155.09,71.6,73,75,3.44
13,Husavik,IS,2021-04-23 17:44:05,66.0449,-17.3389,51.8,58,0,10.36
14,Jerantut,MY,2021-04-23 17:44:27,3.936,102.3626,73.17,95,99,1.77
15,Nantucket,US,2021-04-23 17:44:27,41.2835,-70.0995,50.0,46,1,26.46
16,Tokur,RU,2021-04-23 17:44:28,53.1333,132.9,17.98,94,28,2.8
17,Okhotsk,RU,2021-04-23 17:44:28,59.3833,143.3,16.57,72,0,17.09
18,Souillac,MU,2021-04-23 17:44:29,-20.5167,57.5167,78.8,83,40,9.22
19,Kloulklubed,PW,2021-04-23 17:44:01,7.0419,134.2556,75.2,94,75,5.93
20,Vaini,TO,2021-04-23 17:44:29,-21.2,-175.2,73.4,25,20,3.44
21,Kapaa,US,2021-04-23 17:44:29,22.0752,-159.319,73.4,78,40,12.66
22,Aksu,CN,2021-04-23 17:44:30,41.1231,80.2644,53.58,40,1,6.49
23,East London,ZA,2021-04-23 17:40:04,-33.0153,27.9116,66.2,82,0,10.36
24,Port Elizabeth,ZA,2021-04-23 17:44:07,-33.918,25.5701,71.01,70,0,1.99
25,Alto Lucero,MX,2021-04-23 17:44:30,19.6167,-96.7167,88.14,39,79,6.31
26,Chokurdakh,RU,2021-04-23 17:44:30,70.6333,147.9167,-14.46,99,53,2.24
27,Rikitea,PF,2021-04-23 17:44:31,-23.1203,-134.9692,79.14,69,97,19.13
28,Meadow Lake,US,2021-04-23 17:44:31,34.8014,-106.5436,60.01,35,75,14.97
29,Hurghada,EG,2021-04-23 17:44:32,27.2574,33.8129,80.6,36,0,16.11
30,Rawson,AR,2021-04-23 17:44:32,-43.3002,-65.1023,64.08,52,9,22.01
31,Cabedelo,BR,2021-04-23 17:44:32,-6.9811,-34.8339,86.0,70,75,12.66
32,Saint-Philippe,RE,2021-04-23 17:44:32,-21.3585,55.7679,77.0,78,75,11.5
33,Duku,NG,2021-04-23 17:44:33,11.2361,4.9073,92.84,32,75,4.99
34,Castro,BR,2021-04-23 17:44:33,-24.7911,-50.0119,70.9,44,2,2.55
35,Puerto Ayora,EC,2021-04-23 17:44:33,-0.7393,-90.3518,84.2,70,40,11.5
36,Richards Bay,ZA,2021-04-23 17:44:34,-28.783,32.0377,66.52,83,90,10.36
37,Hobart,AU,2021-04-23 17:44:34,-42.8794,147.3294,51.8,71,75,11.5
38,Imeni Poliny Osipenko,RU,2021-04-23 17:44:34,52.4201,136.4853,28.72,77,74,3.74
39,Esperance,AU,2021-04-23 17:44:35,-33.8667,121.9,55.4,94,97,8.05
40,Namibe,AO,2021-04-23 17:44:35,-15.1961,12.1522,79.95,77,2,7.78
41,Cape Town,ZA,2021-04-23 17:44:02,-33.9258,18.4232,64.0,82,0,5.75
42,Bredasdorp,ZA,2021-04-23 17:44:35,-34.5322,20.0403,57.2,77,54,2.3
43,Mahebourg,MU,2021-04-23 17:44:36,-20.4081,57.7,78.8,83,40,9.22
44,Polis,CY,2021-04-23 17:44:36,35.0367,32.4264,66.2,72,0,4.61
45,Rio Bananal,BR,2021-04-23 17:44:36,-19.265,-40.3333,86.67,45,50,3.13
46,Katsuura,JP,2021-04-23 17:44:37,35.1333,140.3,53.6,71,0,12.66
47,Punta Arenas,CL,2021-04-23 17:42:25,-53.15,-70.9167,48.2,93,75,4.61
48,Fort Nelson,CA,2021-04-23 17:44:37,58.8053,-122.7002,30.2,47,75,10.36
49,Kirkuk,IQ,2021-04-23 17:39:41,35.4681,44.3922,75.72,12,100,4.61
50,Busselton,AU,2021-04-23 17:44:37,-33.65,115.3333,62.01,77,71,1.99
51,Sur,OM,2021-04-23 17:43:55,22.5667,59.5289,87.62,37,1,12.55
52,Lompoc,US,2021-04-23 17:44:38,34.6391,-120.4579,51.8,76,54,7.96
53,Qaanaaq,GL,2021-04-23 17:44:38,77.484,-69.3632,23.31,80,100,7.4
54,Pevek,RU,2021-04-23 17:44:38,69.7008,170.3133,3.99,97,80,4.63
55,Ushuaia,AR,2021-04-23 17:41:30,-54.8,-68.3,42.8,87,90,3.44
